SheepID,Sex,Year_,Month_,Day_
22F,F,2010,12,31
22F,F,2011,1,1
22F,F,2011,1,1
22F,F,2011,1,2
22F,F,2011,1,2
22F,F,2011,1,3
22F,F,2011,1,3
22F,F,2011,1,4
22F,F,2011,1,4
22F,F,2011,1,4
22F,F,2011,1,5
22F,F,2011,1,5
22F,F,2011,1,6
22F,F,2011,1,6
22F,F,2011,1,7
22F,F,2011,1,7
22F,F,2011,1,7
22F,F,2011,1,8
22F,F,2011,1,8
22F,F,2011,1,9
22F,F,2011,1,9
22F,F,2011,1,9
22F,F,2011,1,10
22F,F,2011,1,11
22F,F,2011,1,11
22F,F,2011,1,12
22F,F,2011,1,12
22F,F,2011,1,12
22F,F,2011,1,13
22F,F,2011,1,14
22F,F,2011,1,14
22F,F,2011,1,14
22F,F,2011,1,15
22F,F,2011,1,15
22F,F,2011,1,16
22F,F,2011,1,16
22F,F,2011,1,17
22F,F,2011,1,18
22F,F,2011,1,18
22F,F,2011,1,19
22F,F,2011,1,22
22F,F,2011,1,22
22F,F,2011,1,23
22F,F,2010,3,10
22F,F,2010,3,23
22F,F,2010,2,20
22F,F,2010,2,21
22F,F,2010,2,21
22F,F,2010,2,21
22F,F,2010,2,22
22F,F,2010,2,22
22F,F,2010,2,23
22F,F,2010,2,23
22F,F,2010,2,18
22F,F,2010,2,19
22F,F,2010,2,19
22F,F,2010,2,20
22F,F,2010,3,9
22F,F,2010,2,3
22F,F,2010,2,3
22F,F,2010,2,4
22F,F,2010,2,4
22F,F,2010,2,5
22F,F,2010,2,5
22F,F,2010,2,6
22F,F,2010,2,6
22F,F,2010,2,6
22F,F,2010,2,7
22F,F,2010,2,7
22F,F,2010,2,8
22F,F,2010,2,8
22F,F,2010,2,8
22F,F,2010,2,26
22F,F,2010,2,27
22F,F,2010,2,27
22F,F,2010,2,28
22F,F,2010,2,28
22F,F,2010,2,28
22F,F,2010,3,1
22F,F,2010,3,1
22F,F,2010,3,2
22F,F,2010,3,2
22F,F,2010,3,3
22F,F,2010,3,3
22F,F,2010,3,3
22F,F,2010,3,4
22F,F,2010,3,4
22F,F,2010,3,5
22F,F,2010,3,5
22F,F,2010,3,6
22F,F,2010,3,6
22F,F,2010,3,7
22F,F,2010,3,7
22F,F,2010,3,8
22F,F,2010,2,3
22F,F,2010,2,14
22F,F,2010,2,9
22F,F,2010,2,9
22F,F,2010,2,10
22F,F,2010,2,10
22F,F,2010,2,11
22F,F,2010,2,11
22F,F,2010,2,11
22F,F,2010,2,12
22F,F,2010,2,12
22F,F,2010,2,13
22F,F,2010,2,13
22F,F,2010,2,14
22F,F,2010,1,29
22F,F,2010,2,15
22F,F,2010,2,15
22F,F,2010,1,29
22F,F,2010,1,31
22F,F,2010,1,30
22F,F,2010,1,30
22F,F,2010,1,31
22F,F,2010,2,2
22F,F,2010,2,1
22F,F,2010,2,1
22F,F,2010,2,1
22F,F,2010,2,17
22F,F,2010,2,16
22F,F,2010,2,16
22F,F,2010,2,16
22F,F,2010,2,17
22F,F,2010,2,18
22F,F,2010,2,18
23F,F,2009,3,1
23F,F,2009,3,2
23F,F,2009,3,2
23F,F,2009,3,3
23F,F,2009,3,3
23F,F,2009,3,3
23F,F,2009,3,4
